;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97510;The Treaty of Paris;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97510;The powers of Europe have met in Paris to settle the recent matter of the Crimean War. One of the provisions set out is that the newly-united Romanians would receive the Budjak in southern Bessarabia (also known as Izmail). Refusing would put us at odds with the rest of Europe and perhaps lead to further war. Accepting might repair some of our relations with Romania, but would definitely be a blow to our prestige and our interests in the region.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97515;Romanian Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97515;To this day we remain a subject of the Turks. A growing movement has demanded our indpendence, and there are those who believe an offer of alliance with the Russians along with a guarantee of returning their lands in southern Bessarabia might entice them to support our efforts. Still others fear what a war of independence with the Turks will do to our nation. Is it worth it?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97516;The Romanians have approached us with a deal: in exchange for our assistance in their war of independence against the Turks, they will return our lands in southern Bessarabia. It is a way to regain our influence in the region, though it does come with a steep price.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97517;The Russians Have Agreed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97517;We have received word from the Russian government: they have agreed to support our claim of independence in exchange for Izmail.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97518;The Russians Have Refused;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97518;We have received word from the Russian government: they have refused to support our claim of independence in exchange for Izmail. We are on our own.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97525;The cursed Romanians have coaxed the Russians into declaring war on us in support of their independence. We cannot let this stand!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97526;The Romanians have foolishly declared them independence. We must take action at once!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97550;The Federal Republic;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97550;The Federal Republic of Central America has been chaotic since its inception. Liberals who had high hopes for the union are in constant battle with conservatives, in particular the clergy and wealthy landowners, and there is a general fear of domination by Guatemala. At this point, the struggle to maintain the union seems like an almost impossible one.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME97551;Costa Rica Declares Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97551;With rebels in Nicaragua having already declared its independence from the Federal Republic, it has become next to impossible for the government to maintain order in southern Costa Rica. Government authorities have withdrawn as locals have overtaken the capital in San Jose.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97552;Nicaragua Declares Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97552;With rebels in Honduras having already declared its independence from the Federal Republic, it has become next to impossible for the government to maintain order in Nicaragua. Government authorities have withdrawn as locals have overtaken the capital in Managua.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97553;Order Restored in El Salvador;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97553;The government has managed to restore order in the El Salvador region. Officials in San Salvador have re-dedicated themselves to the future of the union.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97554;Order Restored in Honduras;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97554;The government has managed to restore order in the Honduras region. Officials in Comayagua have re-dedicated themselves to the future of the union.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97555;Order Restored in Nicaragua;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97555;The government has managed to restore order in the Nicaragua region. Officials in Managua have re-dedicated themselves to the future of the union.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97556;Order Restored in Costa Rica;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97556;The government has managed to restore order in the Costa Rica region. Officials in San Jose have re-dedicated themselves to the future of the union.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97560;End of the Republic?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97560;The Federal Republic of Central America is rapidly disintegrating. Members of the government have met in $CAPITAL$ to discuss whether the union should be officially dissolved and the state of Guatemala declared, or whether we should fight to preserve what we have. Some consider that to be an impossible task, though liberals argue that we should not allow conservatives doom the region to a future of division and internal squabbling.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97561;Rebels in $CAPITAL$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97561;With our forces off valiantly facing the enemy, rebels have taken advantage of the situation and stormed $CAPITAL$. They have taken over the $COUNTRY_ADJ$ government and already done a great deal of damage in order to drive out foreign influence in $COUNTRY$. Without the forces to oppose them, there is little we can do.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97562;$CAPITAL$ Burns;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97562;$CAPITAL$ has been taken by the enemy, and a great deal of $COUNTRY$ is lost to our control. Many are saying that we only continue the war because our foreign masters insist that we do so, and that the time has come for us to let go of these ties-- no matter the consequences. Perhaps they are right, though it seems the situation is dire for $COUNTRY$'s future no matter what we do.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME97600;Sakoku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97600;Meaning 'locked country', Sakoku was the foreign relations policy of Japan instituted by the Tokugawa shogunate in the 17th century, with no foreigner allowed to enter the country on pain of death. While some contact with westerners was permitted in the south, at the Dejima trade enclave in particular, such contact was strictly regulated and kept Japan in a state of isolation from the rest of the world.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME97601;Rangaku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97601;Meaning 'Western Learning', Rangaku referred to the body of knowledge developed by Japan through its contacts with the Dutch enclave at Dejima. Despite the enforced isolation of the nation, this policy of learning allowed western influences to spread-- particularly in the southern domains of Satsuma and Choshu.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97605;Kurofune;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97606;Commodore Perry Successful;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97606;Commodore Perry has returned from his mission to Japan with a treaty in hand: we have gained numerous trade concessions, but more importantly we have cracked open the shield that is Japan's policy of isolation. This is a great coup for American diplomacy and influence in the Far East.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97607;The Japanese Are Defiant!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97607;Commodore Perry has returned from his mission to Japan with unfortunate news: they have chosen to defy his ultimatum and thumb their collective noses at our government. Should we back down now, it will be a great blow to our prestige and our influence in the Far East.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97608;Japanese Surrender?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97608;We are being overwhelmed by the superior might of western armaments. Despite the loss of face, we must consider offering the hated foreigners terms of our surrender.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97609;The Japanese Have Surrendered;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97609;We have formally concluded a treaty with the Japanese which will see our influence restored, and our demands for their ports to be opened to our ships to be met. Additionally, an indemnity will be placed upon their government to make up for the expense of the $COUNTRY_ADJ$ war effort.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97610;The Japanese Have Refused!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97610;Despite the overwhelming odds against them, the Japanese have refused our generous offer of surrender.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97615;Sonno Joi;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97615;'Revere the emperor and expel the barbarians!'\n\nThis is the slogan chanted by neo-confucian activists, reacting to the Tokugawa shogunate's opening of Japan to foreigners. There have been growing reports of violence all over the country, primarily against foreign visitors and statesmen but also against the shogunate itself. Each incident chips away at Tokugawa control over the daimyo and erodes relations with the western powers.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97616;$PROVINCENAME$ Incident;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97616;There has been an incident in $PROVINCENAME$ where samurai, acting under the political slogan of 'Sonno Joi', have committed violence against foreigners conducting business in $STATENAME$. The incident has affected the Tokugawa shogunate's relations with foreign powers, as well as incited locals into riot.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME97617;Order to Expel the Barbarians;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97617;In an unprecedented move, the Imperial Court has issued an edict to expel the foreign barbarians present in Japan. This runs in contravention to the traditional role of the Emperor as a figurehead, is a challenge to the shogunate's power, and may serve to further incite rebellion.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC97618;In an unprecedented move, the Imperial Court has issued an edict to expel the foreign barbarians present in Japan. This runs in contravention to the traditional role of the Emperor as a figurehead, and is a challenge to the shogunate's power. The $COUNTRY_ADJ$ clan must decide whether it supports the Emperor's edict or quietly opposes it.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97620;The Death of Iesada;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97620;Tokugawa Iesada, the 13th shogun of Japan, has died childless. This has begun a struggle within the bakufu to select a replacement. The southern tozama daimyo wish to see Tokugawa Yoshinobu become shogun, while the fudai daimyo and shogunate officials are more in favor of Tokugawa Iemochi-- even though he is still but a child. It seems certain that, no matter which candidate is victorious, the disaffected daimyo will see this as a loss of power and make trouble.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME97621;Tokugawa Yoshinobu is Shogun;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97621;The shogunate has taken a step in the right direction and appointed Tokugawa Yoshinobu as the new leader of the bakufu following the death of Iesada. This was always the preferred choice of the tozama daimyo, and perhaps it is a sign that the bakufu is not only willing to do what it must to keep Japan strong but also a sign that the tozama will be permitted more influence within the shogunate.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97622;Even though the fudai daimyo, the relatives and close allies of the Tokugawa clan, supported the appointment of young Iemochi as the new shogun following Iesada's death, instead the leader of the bakufu will be Yoshinobu... a candidate favored by the outsider tozama daimyo. The fudai are growing increasingly alarmed at the insidious influence of the tozama, and there is a stirring sentiment that perhaps the time has come for a grander change.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME97623;Tokugawa Iemochi is Shogun;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97623;Pandering once again to the fudai daimyo, all relatives and close allies within the bakufu, the child Iemochi has been appointed shogun-- instead of the more sensible candidate chosen by the tozama. It is becoming increasingly clear that a larger change is necessary. Perhaps the time has come for the Emperor to rule Japan, a single leader to bring the nation into this new era?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC97624;The shogunate has taken a step in the right direction and appointed Tokugawa Iemochi as the new leader of the bakufu following the death of Iesada. This was always the preferred choice of the fudai daimyo, and perhaps it is a sign that the bakufu is not only willing to do what it must to keep Japan strong but also a sign that the outsider tozama will have their influence in the bakufu kept to a minimum.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97625;Sakuradamon Incident;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97625;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point. Many are urging that a policy of Kobu Gattai-- a union of the bakufu and the imperial court-- may be required.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97626;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point, and thus the bakufu has begun a compromise policy of Kobu Gattai-- a union of the bakufu and the imperial court. Some are seeing this as a sign of further weakness.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97627;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point, yet the shogunate refuses to compromise with the imperial court. Many are certain this will only speed up the coming conflict.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97630;The Death of Emperor Komei;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97630;There are some who believe that Emperor Komei was assassinated-- delivered a handkerchief laced with smallpox, perhaps by radicals who fear the possibility of compromise between the bakufu and the imperial court. No matter the truth, the death of the Emperor has placed the young Emperor Meiji upon the imperial throne and eliminated any chance of compromise.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97635;Opposition to the Bakufu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97635;There is a growing restlessness among the daimyo, with some whispering that the Tokugawa shogunate has grown weak and is unable to deal with the encroachment of foreign powers. Officials within the bakufu are urging that we seek allies among either the outsider tozama or the traditional fudai, to strengthen the shogunate's position. Approaching one means angering the other, of course, but it appears we have little choice.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC97636;There is a growing restlessness among the daimyo, with some whispering that the Tokugawa shogunate has grown weak and is unable to deal with the encroachment of foreign powers. We have received word that the shogunate has consulted with the outsider tozama, perhaps seeking new allies. If so, this compounds injury with insult.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC97637;There is a growing restlessness among the daimyo, with some whispering that the Tokugawa shogunate has grown weak and is unable to deal with the encroachment of foreign powers. We have received word that the shogunate has consulted with the fudai daimyo, perhaps seeking new allies. This is hardly unexpected, though the tozama agree this makes it clear that the shogunate is not the future of Japan.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME97640;The Meiji Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97640;The $FROMCOUNTRY_ADJ$ clan has made a bold move: they have seized control of the palace at Kyoto and declared they intend to see the emperor restored to rule over Japan. The $COUNTRY_ADJ$ must make a decision: do we throw in our support with the imperial court, or do we uphold our duty and support the shogun?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97641;The $FROMCOUNTRY_ADJ$ clan has made a bold move: they have seized control of the palace at Kyoto and declared they intend to see the emperor restored to rule over Japan. Word has it they have recruited fellow daimyo to stand with them in this traitorous war. We must issue a call to our allies and move at once!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97645;We Are Defeated;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97645;The Edo palace has been occupied, and our loyal daimyo are on the retreat. Our advisors tell us that our only option is to lay down our arms and allow the Emperor his victory. There is a place for the Tokugawa within the new order.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97646;The Meiji Restoration;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97646;$COUNTRY_ADJ$ clan forces have marched triumphantly into Edo, and the Tokugawa shogunate has agreed to a permanent peace. For the first time since before the Sengoku, the Imperial Court now rules Japan once again. Victory is ours!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC97647;Emperor Meiji has been restored to rule over Japan. An imperial messenger has arrived at the $COUNTRY_ADJ$ palace in $CAPITAL$ to demand our willing allegiance to the Emperor.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97648;A New Capital in the East?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97648;While Kyoto has long been the capital of Japan, and home to the Imperial Court, the city of Edo has become the de facto capital-- for centuries it has been the center of shogunate power, as well as a cultural and administrative center. The Emperor will need to decide whether the court should move to Edo and create a new capital... or remain in Kyoto and revitalize it instead.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME97650;We Are Defeated;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97650;The Imperial palace at Kyoto has been occupied, and our daimyo allies are on the retreat. Our advisors tell us that our only option is to lay down our arms and allow the Shogun his victory. If we are fortunate, the $COUNTRY_ADJ$ clan will not be wiped out by this unfortunate turn of events.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97651;Tokugawa Victory;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97651;Tokugawa clan forces have marched triumphantly into Kyoto, and the traitor daimyos have agreed to a permanent peace. The Bakumatsu has ended with the shogunate in control once again-- victory is ours!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97652;The Tokugawa shogunate has once again asserted control over Japan. A bakufu messenger has arrived at the $COUNTRY_ADJ$ palace in $CAPITAL$ to demand our submission to direct rule from Edo.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97605;More 'black ships' have appeared off our shores, these ones commanded by an American named Commodore Matthew Perry. The ill-tempered westerner is demanding an end to the Japanese policy of Sokoku-- specifically trading rights in several ports, extraterritoriality for American sailors and protection for their shipwrecks. At first he demanded to negotiate with the Emperor, but that is impossible. Thus it falls to the Shogun to either agree to his demands, risking the appearance of weakness, or refuse and bring the wrath of the Americans upon us.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME97660;The Korean Issue;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97660;Many advisors within the government have stated that Korea presents a problem for Japan's security, and a recent rebellion in Korea shows how vulnerable they are. An invasion of the islands from the Korean mainland is a definite possibility, and in order to protect ourselves we should consider an invasion to set up a Korean protectorate. This will, of course, cause friction with the Chinese-- but why should we allow that to stand in the way of our protection? Many consider the Chinese themselves to be a severe threat.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME97665;The Satsuma Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97665;A growing dissatisfaction among the former samurai with the abolition of the han system and the resulting reduction in their personal prestige has crystallized in a rebellion. Led by one of the most prestigious samurai leaders of the former Satsuma Domain, Saigo Takamori, the rebellion has attracted a large number of followers and will be a severe challenge for the Japanese government to deal with.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97670;The Northern Islands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97670;The islands of Sakhalin and the Kurils are a natural extension of our holdings on Hokkaido, and we must seek to claim these places before the Russians do so first.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97700;$COUNTRY_ADJ$ patriots have risen up in $FROMCOUNTRY$, and have gained control of the capital. They send word they wish to bring all our lost provinces back to $COUNTRY_ADJ$ control. Agreeing would mean risking war, but refusing would mean angering our people.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98007;Hungarian Revolutionaries;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98007;There has been general discontent among the Hungarians, and a group of young revolutionaries have appeared to demand a number of concessions including freedom of the press. Giving them even that will not satisfy them completely, but it might give the government time to put down this rebellion before it begins.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98008;Czech Radicals Attempt Coup;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98008;A group of Czech radical democrats attempted to overthrow the government in a coup. They were unsuccessful, but their actions have inspired their countrymen to rise up in demand of freedom.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98100;The Ladder Conspiracy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98100;The treatment of slaves in Cuba has become increasingly harsh after recent unrest, culminating in the so-called 'Ladder Conspiracy' which relates to a method of torture involving tying a slave to a ladder and whipping them until they confess or die. Reformists in the colony have been calling for a change in Spanish policy and an end to the slave trade there. Failure to do so could result in more uprisings, but bowing to such pressure could have serious repercussions back home.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98105;The Cry of Yara;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98105;Cuban sugar mill owner Carlos Manuel de Céspedes has issued the 'Grito de Yara', the 'Cry of Yara', declaring Cuban independence from $COUNTRY$ and freedom for his slaves. The man has many followers, and his call has spread rapidly throughout the colony.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98200;The Great Boer Trek;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98200;The Boers are descendants of Dutch settlers in the eastern Cape Colony, and they have never sat well with British rule. More and more of them are leaving their farmsteads and moving to the east and the northeast, encroaching on territory traditionally ruled by the Xhosa and the Basotho. Conflict with those native peoples appears to be inevitable, as perhaps is conflict with the Boers themselves should we allow any lands they claim to remain independent. As far as the British government is concerned, the Boers are British subjects... no matter where they go.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME98205;Invasion of the Laagers;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98205;The Boers are eager to get away from British rule, slowly leaving the lands of the Cape Colony and heading both east and north into the African wilds. The ones heading east are encroaching on Zulu territory, however, and it seems there is no end to them. They possess firearms, but we have the superior manpower... and all our chiefs agree on one thing: if we do not do something about the Boers now, they will dominate our territory and turn the Zulu people into colonial subjects.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME98206;The Battle of Blood River;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98206;The Boer encroachment into Zulu lands has provoked a reaction: the Battle of Blood River, prompted by the massacre of Piet Retief and his fellow pioneers after they attempted to negotiate borders for the new Natal settlement. The Voortrekkers won a decisive victory at the battle, and have now carved out a new colony-- with the only question remaining whether the British will recognize their independence or continue to treat them as subjects of the crown. Either way, further conflict seems certain.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98207;The Natalia Republic;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98207;The Boers which have trekked eastward into Zulu lands have reached a surprising settlement with the natives: they have staked out permanent borders for their new colony, and done so in relative peace. The real question remains whether we will allow this new Natalia Republic to stand. The Boers are British subjects, after all, and their existence will no doubt draw more Boers to their side... perhaps providing a threat to our African ambitions.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98210;British Rule of Natal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98210;The Boers of Natalia are once again chafing under British rule, resenting the idea that even though they left the Cape Colony they have not escaped the British crown. There have been several altercations with British military foces, and the recommendation of the colonial government is that Natal be annexed before the situation grows worse. If we do not, then we must allow the Boers to find their own way-- and suffer the loss to our prestige this would entail.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98211;Natalian Independence!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98211;After a series of altercations between British colonial forces and the Boer militia, the British crown has decided to cut its losses and allow Natal its independence. Finally we will control our own destiny, away from the British now and forever!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98212;The Annexation of Natalia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98212;After a series of altercations between British colonial forces and the Boer militia, we have received a demand from the British government that Natalia be annexed into the Cape Colony. For all our struggles to leave the British behind, they yet follow us and refuse to allow us independence! So now we are faced with a choice: submit and move on, to find a place beyond their reach once more, or defy them and risk war.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME98213;The Boers Have Refused!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98213;We have received word from the Natalian government defying our annexation. Now we must either go to war or stand down in humiliation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98215;The Orange River Sovereignty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98215;The Boers have been slowly trekking north from the Cape Colony into areas normally claimed by the Basotho. After a number of skirmishes with natives, they have come to dominate the Orange River valley and established a new colony-- one that is still technically under $COUNTRY_ADJ$ jurisdiction.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98216;The Boers Overtake the Orange Valley;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98216;We have endured the presence of the Boers, colonists who resent the British and who have been trekking north to avoid their rule, for several decades now. We even thought it was possible to co-exist peacefully. After a number of skirmishes, all ending with our defeat at the hands of their firearms, they have taken over our land in the Orange Valley and declared it their own. This is an outrage... yet what can we do?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME98220;The Transvaal Sovereignty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98220;The Boers have been slowly trekking north from the Cape Colony into areas normally claimed by the Ndebele. After a number of skirmishes with natives, they have come to dominate the Transvaal and established a new colony-- one that is still technically under $COUNTRY_ADJ$ jurisdiction.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98221;The Boers Overtake the Transvaal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98221;We have endured the presence of the Boers, colonists who resent the British and who have been trekking north to avoid their rule, for several decades now. We even thought it was possible to co-exist peacefully. After a number of skirmishes, all ending with our defeat at the hands of their firearms, they have taken over our land in the Transvaal and declared it their own. This is an outrage... yet what can we do?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME98225;The Boer Exodus;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98225;With 'the Great Trek' underway, many of the Boers are eager to leave $PROVINCENAME$ behind and travel to either the Transvaal or the Oranje Free State where they feel they will be free to pursue their own interests.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98230;Sand River Convention;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98230;$FROMCOUNTRY_ADJ$ colonial authorities have met with the $COUNTRY_ADJ$ government to determine the requirements for our independence. They wish to see $FROMCOUNTRY_ADJ$ influence in $COUNTRY$ remain strong, and would see us abandon any laws allowing slavery or the 'unethical' treatment of foreigners working in our territory ('uitlanders', as they are called). While our independence is a foregone conclusion, we must decide just how much we abide by their demands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98231;Orange River Convention;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
