#Decision localisation;;;;;;;;;;;;;;
restore_rashids_title;Restore the House of Rasheed to the Arabian throne;Restaurer la dynastie des Al-Rasheed sur le trône d'Arabie;Restore the House of Rasheed to the Arabian throne;;;;;;;;;;;
gtfo_WAL_title;Grant Wallachia Independence;;;;;;;;;;;;;
gtfo_WAL_desc;We've had a good run, but it's time to end our rulership of Wallachia.;;;;;;;;;;;;;
gtfo_YUG_title;Grant Yugoslavia Independence;;;;;;;;;;;;;
gtfo_YUG_desc;We've had a good run, but it's time to end our rulership of Yugoslavia.;;;;;;;;;;;;;
gtfo_MAC_title;Grant Macedonia Independence;;;;;;;;;;;;;
gtfo_MAC_desc;We've had a good run, but it's time to end our rulership of Macedonia.;;;;;;;;;;;;;
gtfo_SLA_title;Grant Slavonia Independence;;;;;;;;;;;;;
gtfo_SLA_desc;We've had a good run, but it's time to end our rulership of Slavonia.;;;;;;;;;;;;;
gtfo_BAD_title;Grant Baden Independence;;;;;;;;;;;;;
gtfo_BAD_desc;We've had a good run, but it's time to end our rulership of Baden.;;;;;;;;;;;;;
gtfo_BAV_title;Grant Bavaria Independence;;;;;;;;;;;;;
gtfo_BAV_desc;We've had a good run, but it's time to end our rulership of Bavaria.;;;;;;;;;;;;;
gtfo_BEG_title;Grant Berg Independence;;;;;;;;;;;;;
gtfo_BEG_desc;We've had a good run, but it's time to end our rulership of Berg.;;;;;;;;;;;;;
gtfo_BRA_title;Grant Braunschweig Independence;;;;;;;;;;;;;
gtfo_BRA_desc;We've had a good run, but it's time to end our rulership of Braunschweig.;;;;;;;;;;;;;
gtfo_BRE_title;Grant Bremen Independence;;;;;;;;;;;;;
gtfo_BRE_desc;We've had a good run, but it's time to end our rulership of Bremen.;;;;;;;;;;;;;
gtfo_BRN_title;Grant Brandenburg Independence;;;;;;;;;;;;;
gtfo_BRN_desc;We've had a good run, but it's time to end our rulership of Brandenburg.;;;;;;;;;;;;;
gtfo_CAE_title;Grant the Elbian Confederation  Independence;;;;;;;;;;;;;
gtfo_CAE_desc;We've had a good run, but it's time to end our rulership of the Elbian Confederation .;;;;;;;;;;;;;
gtfo_FRI_title;Grant East Frisia Independence;;;;;;;;;;;;;
gtfo_FRI_desc;We've had a good run, but it's time to end our rulership of East Frisia.;;;;;;;;;;;;;
gtfo_FRM_title;Grant Frankfurt am Main Independence;;;;;;;;;;;;;
gtfo_FRM_desc;We've had a good run, but it's time to end our rulership of Frankfurt am Main.;;;;;;;;;;;;;
gtfo_HAN_title;Grant Hanover Independence;;;;;;;;;;;;;
gtfo_HAN_desc;We've had a good run, but it's time to end our rulership of Hanover.;;;;;;;;;;;;;
gtfo_HEK_title;Grant Hesse-Kassel Independence;;;;;;;;;;;;;
gtfo_HEK_desc;We've had a good run, but it's time to end our rulership of Hesse-Kassel.;;;;;;;;;;;;;
gtfo_HES_title;Grant Hesse-Darmstadt Independence;;;;;;;;;;;;;
gtfo_HES_desc;We've had a good run, but it's time to end our rulership of Hesse-Darmstadt.;;;;;;;;;;;;;
gtfo_HOL_title;Grant Holstein Independence;;;;;;;;;;;;;
gtfo_HOL_desc;We've had a good run, but it's time to end our rulership of Holstein.;;;;;;;;;;;;;
gtfo_LIP_title;Grant Lippe-Detmold Independence;;;;;;;;;;;;;
gtfo_LIP_desc;We've had a good run, but it's time to end our rulership of Lippe-Detmold.;;;;;;;;;;;;;
gtfo_MNR_title;Grant Munster Independence;;;;;;;;;;;;;
gtfo_MNR_desc;We've had a good run, but it's time to end our rulership of Munster.;;;;;;;;;;;;;
gtfo_NAS_title;Grant Nassau Independence;;;;;;;;;;;;;
gtfo_NAS_desc;We've had a good run, but it's time to end our rulership of Nassau.;;;;;;;;;;;;;
gtfo_NGF_title;Grant the League of Berlin Independence;;;;;;;;;;;;;
gtfo_NGF_desc;We've had a good run, but it's time to end our rulership of the League of Berlin.;;;;;;;;;;;;;
gtfo_OLD_title;Grant Oldenburg Independence;;;;;;;;;;;;;
gtfo_OLD_desc;We've had a good run, but it's time to end our rulership of Oldenburg.;;;;;;;;;;;;;
gtfo_POM_title;Grant Pomerania Independence;;;;;;;;;;;;;
gtfo_POM_desc;We've had a good run, but it's time to end our rulership of Pomerania.;;;;;;;;;;;;;
gtfo_RHI_title;Grant Rhineland Independence;;;;;;;;;;;;;
gtfo_RHI_desc;We've had a good run, but it's time to end our rulership of Rhineland.;;;;;;;;;;;;;
gtfo_SAL_title;Grant Salzburg Independence;;;;;;;;;;;;;
gtfo_SAL_desc;We've had a good run, but it's time to end our rulership of Salzburg.;;;;;;;;;;;;;
gtfo_SAX_title;Grant Saxony Independence;;;;;;;;;;;;;
gtfo_SAX_desc;We've had a good run, but it's time to end our rulership of Saxony.;;;;;;;;;;;;;
gtfo_SCH_title;Grant Schleswig Independence;;;;;;;;;;;;;
gtfo_SCH_desc;We've had a good run, but it's time to end our rulership of Schleswig.;;;;;;;;;;;;;
gtfo_SGF_title;Grant the Danubian Confederation Independence;;;;;;;;;;;;;
gtfo_SGF_desc;We've had a good run, but it's time to end our rulership of the Danubian Confederation.;;;;;;;;;;;;;
gtfo_SIL_title;Grant Silesia Independence;;;;;;;;;;;;;
gtfo_SIL_desc;We've had a good run, but it's time to end our rulership of Silesia.;;;;;;;;;;;;;
gtfo_THU_title;Grant Thuringia Independence;;;;;;;;;;;;;
gtfo_THU_desc;We've had a good run, but it's time to end our rulership of Thuringia.;;;;;;;;;;;;;
gtfo_TIR_title;Grant Tyrol Independence;;;;;;;;;;;;;
gtfo_TIR_desc;We've had a good run, but it's time to end our rulership of Tyrol.;;;;;;;;;;;;;
gtfo_WES_title;Grant Westphalia Independence;;;;;;;;;;;;;
gtfo_WES_desc;We've had a good run, but it's time to end our rulership of Westphalia.;;;;;;;;;;;;;
gtfo_WUR_title;Grant Württemberg Independence;;;;;;;;;;;;;
gtfo_WUR_desc;We've had a good run, but it's time to end our rulership of Württemberg.;;;;;;;;;;;;;
gtfo_SIB_title;Grant Sibir Independence;;;;;;;;;;;;;
gtfo_SIB_desc;We've had a good run, but it's time to end our rulership of Sibir.;;;;;;;;;;;;;
gtfo_TSS_title;Grant Trans-Siberia Independence;;;;;;;;;;;;;
gtfo_TSS_desc;We've had a good run, but it's time to end our rulership of Trans-Siberia.;;;;;;;;;;;;;
gtfo_YKT_title;Grant Yakutia Independence;;;;;;;;;;;;;
gtfo_YKT_desc;We've had a good run, but it's time to end our rulership of Yakutia.;;;;;;;;;;;;;
gtfo_ALH_title;Grant Al Haasa Independence;;;;;;;;;;;;;
gtfo_ALH_desc;We've had a good run, but it's time to end our rulership of Al Haasa.;;;;;;;;;;;;;
gtfo_UAR_title;Grant the United Arab Republic Independence;;;;;;;;;;;;;
gtfo_UAR_desc;We've had a good run, but it's time to end our rulership of the United Arab Republic.;;;;;;;;;;;;;
gtfo_JOR_title;Grant Jordan Independence;;;;;;;;;;;;;
gtfo_JOR_desc;We've had a good run, but it's time to end our rulership of Jordan.;;;;;;;;;;;;;
gtfo_MGH_title;Grant Maghreb Independence;;;;;;;;;;;;;
gtfo_MGH_desc;We've had a good run, but it's time to end our rulership of Maghreb.;;;;;;;;;;;;;
gtfo_PLS_title;Grant Al-Quds Independence;;;;;;;;;;;;;
gtfo_PLS_desc;We've had a good run, but it's time to end our rulership of Al-Quds.;;;;;;;;;;;;;
gtfo_SYR_title;Grant Syria Independence;;;;;;;;;;;;;
gtfo_SYR_desc;We've had a good run, but it's time to end our rulership of Syria.;;;;;;;;;;;;;
gtfo_KZH_title;Grant Kazakhstan Independence;;;;;;;;;;;;;
gtfo_KZH_desc;We've had a good run, but it's time to end our rulership of Kazakhstan.;;;;;;;;;;;;;
gtfo_TJK_title;Grant Tajikistan Independence;;;;;;;;;;;;;
gtfo_TJK_desc;We've had a good run, but it's time to end our rulership of Tajikistan.;;;;;;;;;;;;;
gtfo_UGH_title;Grant Uyghuristan Independence;;;;;;;;;;;;;
gtfo_UGH_desc;We've had a good run, but it's time to end our rulership of Uyghuristan.;;;;;;;;;;;;;
gtfo_TKS_title;Grant Turania Independence;;;;;;;;;;;;;
gtfo_TKS_desc;We've had a good run, but it's time to end our rulership of Turania.;;;;;;;;;;;;;
gtfo_ERI_title;Grant Eritrea Independence;;;;;;;;;;;;;
gtfo_ERI_desc;We've had a good run, but it's time to end our rulership of Eritrea.;;;;;;;;;;;;;
gtfo_KUR_title;Grant Kurdistan Independence;;;;;;;;;;;;;
gtfo_KUR_desc;We've had a good run, but it's time to end our rulership of Kurdistan.;;;;;;;;;;;;;
gtfo_CHG_title;Grant the Dzungar Khanate Independence;;;;;;;;;;;;;
gtfo_CHG_desc;We've had a good run, but it's time to end our rulership of the Dzungar Khanate.;;;;;;;;;;;;;
gtfo_ABU_title;Grant Abu Dhabi Independence;;;;;;;;;;;;;
gtfo_ABU_desc;We've had a good run, but it's time to end our rulership of Abu Dhabi.;;;;;;;;;;;;;
gtfo_AFG_title;Grant Afghanistan Independence;;;;;;;;;;;;;
gtfo_AFG_desc;We've had a good run, but it's time to end our rulership of Afghanistan.;;;;;;;;;;;;;
gtfo_ARM_title;Grant Armenia Independence;;;;;;;;;;;;;
gtfo_ARM_desc;We've had a good run, but it's time to end our rulership of Armenia.;;;;;;;;;;;;;
gtfo_AZB_title;Grant Azerbaijan Independence;;;;;;;;;;;;;
gtfo_AZB_desc;We've had a good run, but it's time to end our rulership of Azerbaijan.;;;;;;;;;;;;;
gtfo_GEO_title;Grant Georgia Independence;;;;;;;;;;;;;
gtfo_GEO_desc;We've had a good run, but it's time to end our rulership of Georgia.;;;;;;;;;;;;;
gtfo_HDJ_title;Grant Hedjaz Independence;;;;;;;;;;;;;
gtfo_HDJ_desc;We've had a good run, but it's time to end our rulership of Hedjaz.;;;;;;;;;;;;;
gtfo_IRQ_title;Grant Iraq Independence;;;;;;;;;;;;;
gtfo_IRQ_desc;We've had a good run, but it's time to end our rulership of Iraq.;;;;;;;;;;;;;
gtfo_KHI_title;Grant Khiva Independence;;;;;;;;;;;;;
gtfo_KHI_desc;We've had a good run, but it's time to end our rulership of Khiva.;;;;;;;;;;;;;
gtfo_NOG_title;Grant Nogai Independence;;;;;;;;;;;;;
gtfo_NOG_desc;We've had a good run, but it's time to end our rulership of Nogai.;;;;;;;;;;;;;
gtfo_CIR_title;Grant Circassia Independence;;;;;;;;;;;;;
gtfo_CIR_desc;We've had a good run, but it's time to end our rulership of Circassia.;;;;;;;;;;;;;
gtfo_DAG_title;Grant Dagestan Independence;;;;;;;;;;;;;
gtfo_DAG_desc;We've had a good run, but it's time to end our rulership of Dagestan.;;;;;;;;;;;;;
gtfo_KOK_title;Grant Kokand Independence;;;;;;;;;;;;;
gtfo_KOK_desc;We've had a good run, but it's time to end our rulership of Kokand.;;;;;;;;;;;;;
gtfo_NEJ_title;Grant Nejd Independence;;;;;;;;;;;;;
gtfo_NEJ_desc;We've had a good run, but it's time to end our rulership of Nejd.;;;;;;;;;;;;;
gtfo_OMA_title;Grant Oman Independence;;;;;;;;;;;;;
gtfo_OMA_desc;We've had a good run, but it's time to end our rulership of Oman.;;;;;;;;;;;;;
gtfo_YEM_title;Grant Yemen Independence;;;;;;;;;;;;;
gtfo_YEM_desc;We've had a good run, but it's time to end our rulership of Yemen.;;;;;;;;;;;;;
gtfo_UZB_title;Grant Uzbekistan Independence;;;;;;;;;;;;;
gtfo_UZB_desc;We've had a good run, but it's time to end our rulership of Uzbekistan.;;;;;;;;;;;;;
gtfo_TNT_title;Grant Tannu Tuva Independence;;;;;;;;;;;;;
gtfo_TNT_desc;We've had a good run, but it's time to end our rulership of Tannu Tuva.;;;;;;;;;;;;;
gtfo_PER_title;Grant Persia Independence;;;;;;;;;;;;;
gtfo_PER_desc;We've had a good run, but it's time to end our rulership of Persia.;;;;;;;;;;;;;
gtfo_QAJ_title;Grant Teheran Independence;;;;;;;;;;;;;
gtfo_QAJ_desc;We've had a good run, but it's time to end our rulership of Teheran.;;;;;;;;;;;;;
gtfo_ZND_title;Grant Kerman Independence;;;;;;;;;;;;;
gtfo_ZND_desc;We've had a good run, but it's time to end our rulership of Kerman.;;;;;;;;;;;;;
gtfo_AFS_title;Grant Askhabad Independence;;;;;;;;;;;;;
gtfo_AFS_desc;We've had a good run, but it's time to end our rulership of Askhabad.;;;;;;;;;;;;;
gtfo_BEN_title;Grant Bengal Independence;;;;;;;;;;;;;
gtfo_BEN_desc;We've had a good run, but it's time to end our rulership of Bengal.;;;;;;;;;;;;;
gtfo_BIH_title;Grant Bihar Independence;;;;;;;;;;;;;
gtfo_BIH_desc;We've had a good run, but it's time to end our rulership of Bihar.;;;;;;;;;;;;;
gtfo_KAL_title;Grant Baluchistan Independence;;;;;;;;;;;;;
gtfo_KAL_desc;We've had a good run, but it's time to end our rulership of Baluchistan.;;;;;;;;;;;;;
gtfo_DRA_title;Grant Dravida Independence;;;;;;;;;;;;;
gtfo_DRA_desc;We've had a good run, but it's time to end our rulership of Dravida.;;;;;;;;;;;;;
gtfo_MDR_title;Grant Madurai Independence;;;;;;;;;;;;;
gtfo_MDR_desc;We've had a good run, but it's time to end our rulership of Madurai.;;;;;;;;;;;;;
gtfo_RAJ_title;Grant Rajputana Independence;;;;;;;;;;;;;
gtfo_RAJ_desc;We've had a good run, but it's time to end our rulership of Rajputana.;;;;;;;;;;;;;
gtfo_SRL_title;Grant Sri Lanka Independence;;;;;;;;;;;;;
gtfo_SRL_desc;We've had a good run, but it's time to end our rulership of Sri Lanka.;;;;;;;;;;;;;
gtfo_BHA_title;Grant Bharata Independence;;;;;;;;;;;;;
gtfo_BHA_desc;We've had a good run, but it's time to end our rulership of Bharata.;;;;;;;;;;;;;
gtfo_VIJ_title;Grant Vijayanagar Independence;;;;;;;;;;;;;
gtfo_VIJ_desc;We've had a good run, but it's time to end our rulership of Vijayanagar.;;;;;;;;;;;;;
gtfo_HND_title;Grant Hindustan Independence;;;;;;;;;;;;;
gtfo_HND_desc;We've had a good run, but it's time to end our rulership of Hindustan.;;;;;;;;;;;;;
gtfo_AWA_title;Grant Awadh Independence;;;;;;;;;;;;;
gtfo_AWA_desc;We've had a good run, but it's time to end our rulership of Awadh.;;;;;;;;;;;;;
gtfo_BER_title;Grant Beroda Independence;;;;;;;;;;;;;
gtfo_BER_desc;We've had a good run, but it's time to end our rulership of Beroda.;;;;;;;;;;;;;
gtfo_BHO_title;Grant Maharashtra Independence;;;;;;;;;;;;;
gtfo_BHO_desc;We've had a good run, but it's time to end our rulership of Maharashtra.;;;;;;;;;;;;;
gtfo_BIK_title;Grant Bikaner Independence;;;;;;;;;;;;;
gtfo_BIK_desc;We've had a good run, but it's time to end our rulership of Bikaner.;;;;;;;;;;;;;
gtfo_BUN_title;Grant Bundelkhand Independence;;;;;;;;;;;;;
gtfo_BUN_desc;We've had a good run, but it's time to end our rulership of Bundelkhand.;;;;;;;;;;;;;
gtfo_GWA_title;Grant Gwalior Independence;;;;;;;;;;;;;
gtfo_GWA_desc;We've had a good run, but it's time to end our rulership of Gwalior.;;;;;;;;;;;;;
gtfo_HYD_title;Grant Hyderabad Independence;;;;;;;;;;;;;
gtfo_HYD_desc;We've had a good run, but it's time to end our rulership of Hyderabad.;;;;;;;;;;;;;
gtfo_JAI_title;Grant Jaipur Independence;;;;;;;;;;;;;
gtfo_JAI_desc;We've had a good run, but it's time to end our rulership of Jaipur.;;;;;;;;;;;;;
gtfo_JAS_title;Grant Jaisalmer Independence;;;;;;;;;;;;;
gtfo_JAS_desc;We've had a good run, but it's time to end our rulership of Jaisalmer.;;;;;;;;;;;;;
gtfo_JOD_title;Grant Jodhpur Independence;;;;;;;;;;;;;
gtfo_JOD_desc;We've had a good run, but it's time to end our rulership of Jodhpur.;;;;;;;;;;;;;
gtfo_KAS_title;Grant Kashmir Independence;;;;;;;;;;;;;
gtfo_KAS_desc;We've had a good run, but it's time to end our rulership of Kashmir.;;;;;;;;;;;;;
gtfo_LAD_title;Grant Ladakh Independence;;;;;;;;;;;;;
gtfo_LAD_desc;We've had a good run, but it's time to end our rulership of Ladakh.;;;;;;;;;;;;;
gtfo_MEW_title;Grant Mewar Independence;;;;;;;;;;;;;
gtfo_MEW_desc;We've had a good run, but it's time to end our rulership of Mewar.;;;;;;;;;;;;;
gtfo_MYS_title;Grant Mysore Independence;;;;;;;;;;;;;
gtfo_MYS_desc;We've had a good run, but it's time to end our rulership of Mysore.;;;;;;;;;;;;;
gtfo_NAG_title;Grant Nagpur Independence;;;;;;;;;;;;;
gtfo_NAG_desc;We've had a good run, but it's time to end our rulership of Nagpur.;;;;;;;;;;;;;
gtfo_NEP_title;Grant Nepal Independence;;;;;;;;;;;;;
gtfo_NEP_desc;We've had a good run, but it's time to end our rulership of Nepal.;;;;;;;;;;;;;
gtfo_ORI_title;Grant Orissa Independence;;;;;;;;;;;;;
gtfo_ORI_desc;We've had a good run, but it's time to end our rulership of Orissa.;;;;;;;;;;;;;
gtfo_PNJ_title;Grant Panjab Independence;;;;;;;;;;;;;
gtfo_PNJ_desc;We've had a good run, but it's time to end our rulership of Panjab.;;;;;;;;;;;;;
gtfo_SHI_title;Grant Shimla Independence;;;;;;;;;;;;;
gtfo_SHI_desc;We've had a good run, but it's time to end our rulership of Shimla.;;;;;;;;;;;;;
gtfo_SIK_title;Grant Sikkim Independence;;;;;;;;;;;;;
gtfo_SIK_desc;We've had a good run, but it's time to end our rulership of Sikkim.;;;;;;;;;;;;;
gtfo_SIN_title;Grant Sindh Independence;;;;;;;;;;;;;
gtfo_SIN_desc;We've had a good run, but it's time to end our rulership of Sindh.;;;;;;;;;;;;;
gtfo_TRA_title;Grant Travancore Independence;;;;;;;;;;;;;
gtfo_TRA_desc;We've had a good run, but it's time to end our rulership of Travancore.;;;;;;;;;;;;;
gtfo_ADR_title;Grant Andhra Independence;;;;;;;;;;;;;
gtfo_ADR_desc;We've had a good run, but it's time to end our rulership of Andhra.;;;;;;;;;;;;;
gtfo_OYO_title;Grant Oyo Independence;;;;;;;;;;;;;
gtfo_OYO_desc;We've had a good run, but it's time to end our rulership of Oyo.;;;;;;;;;;;;;
gtfo_NRI_title;Grant Nri Independence;;;;;;;;;;;;;
gtfo_NRI_desc;We've had a good run, but it's time to end our rulership of Nri.;;;;;;;;;;;;;
gtfo_ZIM_title;Grant Mutapa Independence;;;;;;;;;;;;;
gtfo_ZIM_desc;We've had a good run, but it's time to end our rulership of Mutapa.;;;;;;;;;;;;;
gtfo_ADW_title;Grant Adamawa Independence;;;;;;;;;;;;;
gtfo_ADW_desc;We've had a good run, but it's time to end our rulership of Adamawa.;;;;;;;;;;;;;
gtfo_KNO_title;Grant Kano Independence;;;;;;;;;;;;;
gtfo_KNO_desc;We've had a good run, but it's time to end our rulership of Kano.;;;;;;;;;;;;;
gtfo_ILO_title;Grant Ilorin Independence;;;;;;;;;;;;;
gtfo_ILO_desc;We've had a good run, but it's time to end our rulership of Ilorin.;;;;;;;;;;;;;
gtfo_DHY_title;Grant Dahomey Independence;;;;;;;;;;;;;
gtfo_DHY_desc;We've had a good run, but it's time to end our rulership of Dahomey.;;;;;;;;;;;;;
gtfo_WTT_title;Grant Wattara Independence;;;;;;;;;;;;;
gtfo_WTT_desc;We've had a good run, but it's time to end our rulership of Wattara.;;;;;;;;;;;;;
gtfo_KAN_title;Grant Kanem-Bornu Independence;;;;;;;;;;;;;
gtfo_KAN_desc;We've had a good run, but it's time to end our rulership of Kanem-Bornu.;;;;;;;;;;;;;
gtfo_GRQ_title;Grant Vryland Independence;;;;;;;;;;;;;
gtfo_GRQ_desc;We've had a good run, but it's time to end our rulership of Vryland.;;;;;;;;;;;;;
gtfo_LWE_title;Grant Leeuwin Independence;;;;;;;;;;;;;
gtfo_LWE_desc;We've had a good run, but it's time to end our rulership of Leeuwin.;;;;;;;;;;;;;
gtfo_NFL_title;Grant Nuweflander Independence;;;;;;;;;;;;;
gtfo_NFL_desc;We've had a good run, but it's time to end our rulership of Nuweflander.;;;;;;;;;;;;;
gtfo_BTV_title;Grant Batavia Independence;;;;;;;;;;;;;
gtfo_BTV_desc;We've had a good run, but it's time to end our rulership of Batavia.;;;;;;;;;;;;;
gtfo_FJA_title;Grant Fuuta Jallon Independence;;;;;;;;;;;;;
gtfo_FJA_desc;We've had a good run, but it's time to end our rulership of Fuuta Jallon.;;;;;;;;;;;;;
gtfo_FUN_title;Grant Soudan Independence;;;;;;;;;;;;;
gtfo_FUN_desc;We've had a good run, but it's time to end our rulership of Soudan.;;;;;;;;;;;;;
gtfo_ALD_title;Grant Numidia Independence;;;;;;;;;;;;;
gtfo_ALD_desc;We've had a good run, but it's time to end our rulership of Numidia.;;;;;;;;;;;;;
gtfo_EGY_title;Grant Egypt Independence;;;;;;;;;;;;;
gtfo_EGY_desc;We've had a good run, but it's time to end our rulership of Egypt.;;;;;;;;;;;;;
gtfo_ETH_title;Grant Ethiopia Independence;;;;;;;;;;;;;
gtfo_ETH_desc;We've had a good run, but it's time to end our rulership of Ethiopia.;;;;;;;;;;;;;
gtfo_AMT_title;Grant Amatsa Independence;;;;;;;;;;;;;
gtfo_AMT_desc;We've had a good run, but it's time to end our rulership of Amatsa.;;;;;;;;;;;;;
gtfo_ADA_title;Grant Adal Independence;;;;;;;;;;;;;
gtfo_ADA_desc;We've had a good run, but it's time to end our rulership of Adal.;;;;;;;;;;;;;
gtfo_ORO_title;Grant Oromyia Independence;;;;;;;;;;;;;
gtfo_ORO_desc;We've had a good run, but it's time to end our rulership of Oromyia.;;;;;;;;;;;;;
gtfo_MAD_title;Grant Merina Independence;;;;;;;;;;;;;
gtfo_MAD_desc;We've had a good run, but it's time to end our rulership of Merina.;;;;;;;;;;;;;
gtfo_MOR_title;Grant Mauretania Independence;;;;;;;;;;;;;
gtfo_MOR_desc;We've had a good run, but it's time to end our rulership of Mauretania.;;;;;;;;;;;;;
gtfo_SAF_title;Grant the Cape Republic Independence;;;;;;;;;;;;;
gtfo_SAF_desc;We've had a good run, but it's time to end our rulership of the Cape Republic.;;;;;;;;;;;;;
gtfo_LBY_title;Grant Libya Independence;;;;;;;;;;;;;
gtfo_LBY_desc;We've had a good run, but it's time to end our rulership of Libya.;;;;;;;;;;;;;
gtfo_SOK_title;Grant Sokoto Independence;;;;;;;;;;;;;
gtfo_SOK_desc;We've had a good run, but it's time to end our rulership of Sokoto.;;;;;;;;;;;;;
gtfo_TRI_title;Grant Tripoli Independence;;;;;;;;;;;;;
gtfo_TRI_desc;We've had a good run, but it's time to end our rulership of Tripoli.;;;;;;;;;;;;;
gtfo_TRN_title;Grant Transkaap Independence;;;;;;;;;;;;;
gtfo_TRN_desc;We've had a good run, but it's time to end our rulership of Transkaap.;;;;;;;;;;;;;
gtfo_TUN_title;Grant Tunisia Independence;;;;;;;;;;;;;
gtfo_TUN_desc;We've had a good run, but it's time to end our rulership of Tunisia.;;;;;;;;;;;;;
gtfo_ZAN_title;Grant Zanzibar Independence;;;;;;;;;;;;;
gtfo_ZAN_desc;We've had a good run, but it's time to end our rulership of Zanzibar.;;;;;;;;;;;;;
gtfo_ZUL_title;Grant Zulu Independence;;;;;;;;;;;;;
gtfo_ZUL_desc;We've had a good run, but it's time to end our rulership of Zulu.;;;;;;;;;;;;;
gtfo_MAL_title;Grant the Mossi Empire Independence;;;;;;;;;;;;;
gtfo_MAL_desc;We've had a good run, but it's time to end our rulership of the Mossi Empire.;;;;;;;;;;;;;
gtfo_ANG_title;Grant Angola Independence;;;;;;;;;;;;;
gtfo_ANG_desc;We've had a good run, but it's time to end our rulership of Angola.;;;;;;;;;;;;;
gtfo_AZA_title;Grant Azande Independence;;;;;;;;;;;;;
gtfo_AZA_desc;We've had a good run, but it's time to end our rulership of Azande.;;;;;;;;;;;;;
gtfo_BRD_title;Grant Burundi Independence;;;;;;;;;;;;;
gtfo_BRD_desc;We've had a good run, but it's time to end our rulership of Burundi.;;;;;;;;;;;;;
gtfo_BUG_title;Grant Buganda Independence;;;;;;;;;;;;;
gtfo_BUG_desc;We've had a good run, but it's time to end our rulership of Buganda.;;;;;;;;;;;;;
gtfo_CYR_title;Grant Cyrenaica Independence;;;;;;;;;;;;;
gtfo_CYR_desc;We've had a good run, but it's time to end our rulership of Cyrenaica.;;;;;;;;;;;;;
gtfo_DAR_title;Grant Darfour Independence;;;;;;;;;;;;;
gtfo_DAR_desc;We've had a good run, but it's time to end our rulership of Darfour.;;;;;;;;;;;;;
gtfo_AJU_title;Grant Ajuuraan State Independence;;;;;;;;;;;;;
gtfo_AJU_desc;We've had a good run, but it's time to end our rulership of Ajuuraan State.;;;;;;;;;;;;;
gtfo_RWA_title;Grant Rwanda Independence;;;;;;;;;;;;;
gtfo_RWA_desc;We've had a good run, but it's time to end our rulership of Rwanda.;;;;;;;;;;;;;
gtfo_SLE_title;Grant Leonia Independence;;;;;;;;;;;;;
gtfo_SLE_desc;We've had a good run, but it's time to end our rulership of Leonia.;;;;;;;;;;;;;
gtfo_TSW_title;Grant Botswana Independence;;;;;;;;;;;;;
gtfo_TSW_desc;We've had a good run, but it's time to end our rulership of Botswana.;;;;;;;;;;;;;
gtfo_KKN_title;Grant Kita Kaigan Independence;;;;;;;;;;;;;
gtfo_KKN_desc;We've had a good run, but it's time to end our rulership of Kita Kaigan.;;;;;;;;;;;;;
gtfo_AIN_title;Grant Ainu Independence;;;;;;;;;;;;;
gtfo_AIN_desc;We've had a good run, but it's time to end our rulership of Ainu.;;;;;;;;;;;;;
gtfo_ARY_title;Grant Aryanam Independence;;;;;;;;;;;;;
gtfo_ARY_desc;We've had a good run, but it's time to end our rulership of Aryanam.;;;;;;;;;;;;;
gtfo_KLM_title;Grant Kalimantan Independence;;;;;;;;;;;;;
gtfo_KLM_desc;We've had a good run, but it's time to end our rulership of Kalimantan.;;;;;;;;;;;;;
gtfo_KTI_title;Grant Kutai Independence;;;;;;;;;;;;;
gtfo_KTI_desc;We've had a good run, but it's time to end our rulership of Kutai.;;;;;;;;;;;;;
gtfo_SUL_title;Grant Sulu Independence;;;;;;;;;;;;;
gtfo_SUL_desc;We've had a good run, but it's time to end our rulership of Sulu.;;;;;;;;;;;;;
gtfo_MCK_title;Grant the Qing Empire Independence;;;;;;;;;;;;;
gtfo_MCK_desc;We've had a good run, but it's time to end our rulership of the Qing Empire.;;;;;;;;;;;;;
gtfo_MCH_title;Grant Manchukuo Independence;;;;;;;;;;;;;
gtfo_MCH_desc;We've had a good run, but it's time to end our rulership of Manchukuo.;;;;;;;;;;;;;
gtfo_MIG_title;Grant Nanjing Independence;;;;;;;;;;;;;
gtfo_MIG_desc;We've had a good run, but it's time to end our rulership of Nanjing.;;;;;;;;;;;;;
gtfo_TNG_title;Grant Tungning Independence;;;;;;;;;;;;;
gtfo_TNG_desc;We've had a good run, but it's time to end our rulership of Tungning.;;;;;;;;;;;;;
gtfo_TAI_title;Grant the Taiping Empire Independence;;;;;;;;;;;;;
gtfo_TAI_desc;We've had a good run, but it's time to end our rulership of the Taiping Empire.;;;;;;;;;;;;;
gtfo_DAX_title;Grant Sichuan Independence;;;;;;;;;;;;;
gtfo_DAX_desc;We've had a good run, but it's time to end our rulership of Sichuan.;;;;;;;;;;;;;
gtfo_SHU_title;Grant Shaanxi Independence;;;;;;;;;;;;;
gtfo_SHU_desc;We've had a good run, but it's time to end our rulership of Shaanxi.;;;;;;;;;;;;;
gtfo_CHP_title;Grant Champa Independence;;;;;;;;;;;;;
gtfo_CHP_desc;We've had a good run, but it's time to end our rulership of Champa.;;;;;;;;;;;;;
gtfo_LFG_title;Grant Lanfang Independence;;;;;;;;;;;;;
gtfo_LFG_desc;We've had a good run, but it's time to end our rulership of Lanfang.;;;;;;;;;;;;;
gtfo_MKS_title;Grant Makassar Independence;;;;;;;;;;;;;
