;;;;;;;;;;;;;x,,;;;;
gtfo_EST_desc;We've had a good run, but it's time to end our relationship with Estland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HUN_title;Remove Hungary From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HUN_desc;We've had a good run, but it's time to end our relationship with Hungary: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LIT_title;Remove Lithuania From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LIT_desc;We've had a good run, but it's time to end our relationship with Lithuania: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LAT_title;Remove Livonia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LAT_desc;We've had a good run, but it's time to end our relationship with Livonia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_POL_title;Remove Poland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_POL_desc;We've had a good run, but it's time to end our relationship with Poland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SLV_title;Remove Slovakia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SLV_desc;We've had a good run, but it's time to end our relationship with Slovakia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SWI_title;Remove Switzerland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SWI_desc;We've had a good run, but it's time to end our relationship with Switzerland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RUT_title;Remove Galich From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RUT_desc;We've had a good run, but it's time to end our relationship with Galich: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SIE_title;Remove Transylvania From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SIE_desc;We've had a good run, but it's time to end our relationship with Transylvania: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UKR_title;Remove Kiev From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UKR_desc;We've had a good run, but it's time to end our relationship with Kiev: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CZH_title;Remove Bohemia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CZH_desc;We've had a good run, but it's time to end our relationship with Bohemia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ALB_title;Remove Albania From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ALB_desc;We've had a good run, but it's time to end our relationship with Albania: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BOS_title;Remove Bosnia-Herzegovina From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BOS_desc;We've had a good run, but it's time to end our relationship with Bosnia-Herzegovina: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BUL_title;Remove Bulgaria From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BUL_desc;We've had a good run, but it's time to end our relationship with Bulgaria: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CRE_title;Remove Crete From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CRE_desc;We've had a good run, but it's time to end our relationship with Crete: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CRO_title;Remove Illyria From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CRO_desc;We've had a good run, but it's time to end our relationship with Illyria: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CYP_title;Remove Cyprus From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CYP_desc;We've had a good run, but it's time to end our relationship with Cyprus: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GRE_title;Remove Greece From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GRE_desc;We've had a good run, but it's time to end our relationship with Greece: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ION_title;Remove Ionian Islands From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ION_desc;We've had a good run, but it's time to end our relationship with Ionian Islands: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MOL_title;Remove Moldavia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MOL_desc;We've had a good run, but it's time to end our relationship with Moldavia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MON_title;Remove Montenegro From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MON_desc;We've had a good run, but it's time to end our relationship with Montenegro: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ROM_title;Remove Romania From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ROM_desc;We've had a good run, but it's time to end our relationship with Romania: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SER_title;Remove Serbia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SER_desc;We've had a good run, but it's time to end our relationship with Serbia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SLO_title;Remove Slovenia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SLO_desc;We've had a good run, but it's time to end our relationship with Slovenia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WAL_title;Remove Wallachia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WAL_desc;We've had a good run, but it's time to end our relationship with Wallachia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_YUG_title;Remove Yugoslavia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_YUG_desc;We've had a good run, but it's time to end our relationship with Yugoslavia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ALD_title;Remove Algeria From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ALD_desc;We've had a good run, but it's time to end our relationship with Algeria: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CNG_title;Remove Congo From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CNG_desc;We've had a good run, but it's time to end our relationship with Congo: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_EGY_title;Remove Egypt From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_EGY_desc;We've had a good run, but it's time to end our relationship with Egypt: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ETH_title;Remove Ethiopia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ETH_desc;We've had a good run, but it's time to end our relationship with Ethiopia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MAD_title;Remove Merina From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MAD_desc;We've had a good run, but it's time to end our relationship with Merina: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LIB_title;Remove Liberia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LIB_desc;We've had a good run, but it's time to end our relationship with Liberia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MOR_title;Remove Morocco From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MOR_desc;We've had a good run, but it's time to end our relationship with Morocco: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NAL_title;Remove Natalia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NAL_desc;We've had a good run, but it's time to end our relationship with Natalia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ORA_title;Remove Oranje From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ORA_desc;We've had a good run, but it's time to end our relationship with Oranje: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SAF_title;Remove the Duchy of the Cape From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SAF_desc;We've had a good run, but it's time to end our relationship with the Duchy of the Cape: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SOK_title;Remove Sokoto From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SOK_desc;We've had a good run, but it's time to end our relationship with Sokoto: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RHO_title;Remove Southern Rhodesia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RHO_desc;We've had a good run, but it's time to end our relationship with Southern Rhodesia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TRI_title;Remove Tripoli From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TRI_desc;We've had a good run, but it's time to end our relationship with Tripoli: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TRN_title;Remove Transkaap From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TRN_desc;We've had a good run, but it's time to end our relationship with Transkaap: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TUN_title;Remove the Hafsids From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TUN_desc;We've had a good run, but it's time to end our relationship with the Hafsids: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ZAN_title;Remove Zanzibar From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ZAN_desc;We've had a good run, but it's time to end our relationship with Zanzibar: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ZUL_title;Remove Zulu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ZUL_desc;We've had a good run, but it's time to end our relationship with Zulu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ABU_title;Remove Abu Dhabi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ABU_desc;We've had a good run, but it's time to end our relationship with Abu Dhabi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AFG_title;Remove Afghanistan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AFG_desc;We've had a good run, but it's time to end our relationship with Afghanistan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ARM_title;Remove Armenia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ARM_desc;We've had a good run, but it's time to end our relationship with Armenia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AZB_title;Remove the Safavid Empire From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AZB_desc;We've had a good run, but it's time to end our relationship with the Safavid Empire: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BUK_title;Remove Bukkhara From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BUK_desc;We've had a good run, but it's time to end our relationship with Bukkhara: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GEO_title;Remove Georgia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GEO_desc;We've had a good run, but it's time to end our relationship with Georgia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HDJ_title;Remove Hedjaz From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HDJ_desc;We've had a good run, but it's time to end our relationship with Hedjaz: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_IRQ_title;Remove Iraq From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_IRQ_desc;We've had a good run, but it's time to end our relationship with Iraq: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KHI_title;Remove Khiva From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KHI_desc;We've had a good run, but it's time to end our relationship with Khiva: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KOK_title;Remove Kokand From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KOK_desc;We've had a good run, but it's time to end our relationship with Kokand: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MUG_title;Remove the Mughal Empire From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MUG_desc;We've had a good run, but it's time to end our relationship with the Mughal Empire: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NEJ_title;Remove Arabia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NEJ_desc;We've had a good run, but it's time to end our relationship with Arabia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_OMA_title;Remove Oman From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_OMA_desc;We've had a good run, but it's time to end our relationship with Oman: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PER_title;Remove Teheran From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PER_desc;We've had a good run, but it's time to end our relationship with Teheran: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_YEM_title;Remove Yemen From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_YEM_desc;We've had a good run, but it's time to end our relationship with Yemen: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HND_title;Remove India From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HND_desc;We've had a good run, but it's time to end our relationship with India: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AWA_title;Remove Awadh From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AWA_desc;We've had a good run, but it's time to end our relationship with Awadh: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BAS_title;Remove Bastar From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BAS_desc;We've had a good run, but it's time to end our relationship with Bastar: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BER_title;Remove Beroda From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BER_desc;We've had a good run, but it's time to end our relationship with Beroda: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BHO_title;Remove Maharashtran From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BHO_desc;We've had a good run, but it's time to end our relationship with Maharashtran: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BIK_title;Remove Bikaner From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BIK_desc;We've had a good run, but it's time to end our relationship with Bikaner: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BUN_title;Remove Bundelkhand From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BUN_desc;We've had a good run, but it's time to end our relationship with Bundelkhand: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GWA_title;Remove Gwalior From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GWA_desc;We've had a good run, but it's time to end our relationship with Gwalior: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HYD_title;Remove Hyderabad From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HYD_desc;We've had a good run, but it's time to end our relationship with Hyderabad: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_IND_title;Remove Indore From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_IND_desc;We've had a good run, but it's time to end our relationship with Indore: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_JAI_title;Remove Jaipur From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_JAI_desc;We've had a good run, but it's time to end our relationship with Jaipur: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_JAS_title;Remove Jaisalmer From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_JAS_desc;We've had a good run, but it's time to end our relationship with Jaisalmer: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_JOD_title;Remove Jodhpur From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_JOD_desc;We've had a good run, but it's time to end our relationship with Jodhpur: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KAL_title;Remove Herat From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KAL_desc;We've had a good run, but it's time to end our relationship with Herat: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KAS_title;Remove Kashmir From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KAS_desc;We've had a good run, but it's time to end our relationship with Kashmir: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KUT_title;Remove Kutch From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KUT_desc;We've had a good run, but it's time to end our relationship with Kutch: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LAD_title;Remove Ladakh From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LAD_desc;We've had a good run, but it's time to end our relationship with Ladakh: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MAK_title;Remove Makran From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MAK_desc;We've had a good run, but it's time to end our relationship with Makran: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MEW_title;Remove Mewar From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MEW_desc;We've had a good run, but it's time to end our relationship with Mewar: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MYS_title;Remove Mysore From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MYS_desc;We've had a good run, but it's time to end our relationship with Mysore: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NAG_title;Remove Nagpur From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NAG_desc;We've had a good run, but it's time to end our relationship with Nagpur: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NEP_title;Remove Nepal From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NEP_desc;We've had a good run, but it's time to end our relationship with Nepal: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ORI_title;Remove Orissa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ORI_desc;We've had a good run, but it's time to end our relationship with Orissa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PNJ_title;Remove Panjab From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PNJ_desc;We've had a good run, but it's time to end our relationship with Panjab: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SHI_title;Remove Shimla From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SHI_desc;We've had a good run, but it's time to end our relationship with Shimla: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SIK_title;Remove Sikkim From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SIK_desc;We've had a good run, but it's time to end our relationship with Sikkim: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SIN_title;Remove Sindh From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SIN_desc;We've had a good run, but it's time to end our relationship with Sindh: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TRA_title;Remove Travancore From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TRA_desc;We've had a good run, but it's time to end our relationship with Travancore: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ATJ_title;Remove Atjeh From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ATJ_desc;We've had a good run, but it's time to end our relationship with Atjeh: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BAL_title;Remove Bali From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BAL_desc;We've had a good run, but it's time to end our relationship with Bali: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BHU_title;Remove Bhutan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BHU_desc;We've had a good run, but it's time to end our relationship with Bhutan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BRU_title;Remove Brunei From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BRU_desc;We've had a good run, but it's time to end our relationship with Brunei: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BUR_title;Remove Taungu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BUR_desc;We've had a good run, but it's time to end our relationship with Taungu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CAM_title;Remove Khmer Empire From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CAM_desc;We've had a good run, but it's time to end our relationship with Khmer Empire: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CHK_title;Remove Champassak From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CHK_desc;We've had a good run, but it's time to end our relationship with Champassak: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DAI_title;Remove Dai Nam From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DAI_desc;We've had a good run, but it's time to end our relationship with Dai Nam: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_JAV_title;Remove Java From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_JAV_desc;We've had a good run, but it's time to end our relationship with Java: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KOR_title;Remove Korea From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KOR_desc;We've had a good run, but it's time to end our relationship with Korea: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LUA_title;Remove Luang Prabang From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LUA_desc;We've had a good run, but it's time to end our relationship with Luang Prabang: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LNA_title;Remove Lan Na From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LNA_desc;We've had a good run, but it's time to end our relationship with Lan Na: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LXA_title;Remove Lan Xang From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LXA_desc;We've had a good run, but it's time to end our relationship with Lan Xang: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_JOH_title;Remove Malacca From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_JOH_desc;We've had a good run, but it's time to end our relationship with Malacca: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SIA_title;Remove Ayutthaya From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SIA_desc;We've had a good run, but it's time to end our relationship with Ayutthaya: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TIB_title;Remove Tibet From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TIB_desc;We've had a good run, but it's time to end our relationship with Tibet: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MGL_title;Remove Mongolia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MGL_desc;We've had a good run, but it's time to end our relationship with Mongolia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WIA_title;Remove Wiang Chhan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WIA_desc;We've had a good run, but it's time to end our relationship with Wiang Chhan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PHL_title;Remove Philippines From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PHL_desc;We've had a good run, but it's time to end our relationship with Philippines: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GXI_title;Remove GXI From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GXI_desc;We've had a good run, but it's time to end our relationship with GXI: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SXI_title;Remove SXI From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SXI_desc;We've had a good run, but it's time to end our relationship with SXI: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_YNN_title;Remove YNN From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_YNN_desc;We've had a good run, but it's time to end our relationship with YNN: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_XBI_title;Remove Tangut From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_XBI_desc;We've had a good run, but it's time to end our relationship with Tangut: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_XIN_title;Remove XIN From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_XIN_desc;We've had a good run, but it's time to end our relationship with XIN: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CAL_title;Remove Californian Republic From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CAL_desc;We've had a good run, but it's time to end our relationship with Californian Republic: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CAN_title;Remove Canada From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CAN_desc;We've had a good run, but it's time to end our relationship with Canada: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CHE_title;Remove Tsalagihi Ayeli From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CHE_desc;We've had a good run, but it's time to end our relationship with Tsalagihi Ayeli: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_COL_title;Remove Gran Columbia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_COL_desc;We've had a good run, but it's time to end our relationship with Gran Columbia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_COS_title;Remove Costa Rica From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_COS_desc;We've had a good run, but it's time to end our relationship with Costa Rica: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CSA_title;Remove America From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CSA_desc;We've had a good run, but it's time to end our relationship with America: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CUB_title;Remove Habana From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CUB_desc;We've had a good run, but it's time to end our relationship with Habana: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DES_title;Remove Deseret From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DES_desc;We've had a good run, but it's time to end our relationship with Deseret: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DOM_title;Remove Dominican Republic From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DOM_desc;We've had a good run, but it's time to end our relationship with Dominican Republic: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ELS_title;Remove San Salvador From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ELS_desc;We've had a good run, but it's time to end our relationship with San Salvador: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GUA_title;Remove Guatemala From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GUA_desc;We've had a good run, but it's time to end our relationship with Guatemala: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ASG_title;Remove Ayiti From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ASG_desc;We've had a good run, but it's time to end our relationship with Ayiti: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HAW_title;Remove Hawaii From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HAW_desc;We've had a good run, but it's time to end our relationship with Hawaii: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MAN_title;Remove Manhattan Commune From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MAN_desc;We've had a good run, but it's time to end our relationship with Manhattan Commune: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MEX_title;Remove Mexico From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
